Positive, Negative, Index
28,27,0.54096
29,26,0.55903
30,25,0.57704
31,24,0.59501
32,23,0.61293
33,22,0.63077
34,21,0.64849
35,20,0.66634
36,19,0.68409
37,18,0.70176
38,17,0.71936
39,16,0.73687
40,15,0.7544
41,14,0.77182
42,13,0.78916
43,12,0.80645
44,11,0.82363
45,10,0.84074
46,9,0.85774
47,8,0.87462
48,7,0.89138
49,6,0.90797
50,5,0.92438
51,4,0.94055
52,3,0.95638
53,2,0.97176
54,1,0.98633
1,55,0.0257
2,54,0.04739
3,53,0.06799
4,52,0.08805
5,51,0.10775
6,50,0.1272
7,49,0.14645
8,48,0.16554
9,47,0.18447
10,46,0.20334
11,45,0.22208
12,44,0.2407
13,43,0.25931
14,42,0.27781
15,41,0.29622
16,40,0.3145
17,39,0.33289
18,38,0.35117
19,37,0.36938
20,36,0.38752
21,35,0.40562
22,34,0.42366
23,33,0.44163
24,32,0.45953
25,31,0.47726
26,30,0.49524
27,29,0.5132
28,28,0.53105
29,27,0.54884
30,26,0.56657
31,25,0.58422
32,24,0.60188
33,23,0.61945
34,22,0.63696
35,21,0.6544
36,20,0.67191
37,19,0.68933
38,18,0.70668
39,17,0.72396
40,16,0.74118
41,15,0.75838
42,14,0.77549
43,13,0.79253
44,12,0.80951
45,11,0.8264
46,10,0.8432
47,9,0.85992
48,8,0.87652
49,7,0.893
50,6,0.90932
51,5,0.92545
52,4,0.94136
53,3,0.95695
54,2,0.9721
55,1,0.98647
1,56,0.02506
2,55,0.0463
3,54,0.06651
4,53,0.08618
5,52,0.10551
6,51,0.1246
7,50,0.1435
8,49,0.16224
9,48,0.18085
10,47,0.19936
