Time,Positive,Negative,Value
18,6,4,-4.53398
18,7,3,-4.53398
18,8,2,-4.53398
18,9,1,-4.53398
18,1,10,-3.99636
18,2,9,-3.99636
18,3,8,-3.99636
18,4,7,-3.99636
18,5,6,-3.99636
18,6,5,-3.99636
18,7,4,-3.99636
18,8,3,-3.99636
18,9,2,-3.99636
18,10,1,-3.99636
18,1,11,-3.48376
18,2,10,-3.48376
18,3,9,-3.48376
18,4,8,-3.48376
18,5,7,-3.48376
18,6,6,-3.48376
18,7,5,-3.48376
18,8,4,-3.48376
18,9,3,-3.48376
18,10,2,-3.48376
18,11,1,-3.48376
18,1,12,-2.99298
18,2,11,-2.99298
18,3,10,-2.99298
18,4,9,-2.99298
18,5,8,-2.99298
18,6,7,-2.99298
18,7,6,-2.99298
18,8,5,-2.99298
18,9,4,-2.99298
18,10,3,-2.99298
